SPIRIT1_a_W70,SPIRIT1_b_W70,SPIRIT1_c_W70,SPIRIT1_d_W70,SPIRIT2_a_W70,SPIRIT2_b_W70,SPIRIT2_c_W70,SPIRIT2_d_W70
Never,Refused,Refused,Less than monthly,Never,Never,Monthly,Daily
Never,Never,Daily,Weekly,Never,Never,Never,Daily
Monthly,Never,Daily,Monthly,Daily,Weekly,Daily,Daily
Never,Never,Daily,Daily,Weekly,Never,Weekly,Daily
Never,Never,Daily,Less than monthly,Daily,Daily,Weekly,Daily
Daily,Never,Daily,Daily,Daily,Daily,Weekly,Weekly
Never,Never,Daily,Weekly,Daily,Never,Daily,Daily
Less than monthly,Daily,Daily,Less than monthly,Less than monthly,Never,Less than monthly,Daily
Less than monthly,Never,Daily,Less than monthly,Weekly,Never,Less than monthly,Less than monthly
Less than monthly,Less than monthly,Daily,Weekly,Monthly,Never,Less than monthly,Weekly
Never,Less than monthly,Daily,Never,Daily,Weekly,Daily,Weekly
Never,Never,Weekly,Daily,Monthly,Never,Monthly,Daily
Never,Never,Less than monthly,Less than monthly,Daily,Less than monthly,Never,Never
Less than monthly,Less than monthly,Daily,Less than monthly,Less than monthly,Less than monthly,Weekly,Daily
Daily,Never,Daily,Weekly,Less than monthly,Less than monthly,Daily,Daily
Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily
Never,Never,Daily,Daily,Never,Never,Monthly,Weekly
Daily,Never,Daily,Weekly,Never,Never,Weekly,Daily
Daily,Never,Daily,Daily,Never,Never,Weekly,Daily
Weekly,Less than monthly,Daily,Daily,Daily,Daily,Weekly,Daily
Daily,Never,Daily,Daily,Less than monthly,Never,Weekly,Daily
Never,Never,Daily,Weekly,Less than monthly,Never,Weekly,Daily
Daily,Never,Daily,Daily,Daily,Daily,Less than monthly,Less than monthly
Never,Never,Daily,Weekly,Never,Never,Daily,Daily
Never,Never,Daily,Daily,Daily,Daily,Daily,Refused
Daily,Never,Daily,Weekly,Daily,Weekly,Daily,Daily
Weekly,Never,Daily,Daily,Never,Never,Weekly,Refused
Daily,Never,Less than monthly,Less than monthly,Daily,Less than monthly,Daily,Daily
Never,Never,Weekly,Less than monthly,Less than monthly,Never,Daily,Less than monthly
Never,Never,Daily,Daily,Never,Never,Weekly,Daily
Weekly,Never,Weekly,Never,Daily,Daily,Weekly,Weekly
Never,Never,Weekly,Weekly,Daily,Never,Daily,Daily
Daily,Never,Daily,Never,Daily,Weekly,Daily,Daily
Never,Never,Daily,Daily,Never,Never,Monthly,Monthly
Daily,Never,Daily,Weekly,Daily,Daily,Daily,Daily
Monthly,Weekly,Weekly,Weekly,Never,Never,Monthly,Daily
Less than monthly,Never,Daily,Monthly,Daily,Weekly,Weekly,Daily
Never,Never,Daily,Daily,Never,Never,Daily,Daily
Never,Never,Daily,Weekly,Daily,Daily,Daily,Daily
Daily,Daily,Weekly,Daily,Never,Never,Daily,Daily
Never,Never,Weekly,Weekly,Less than monthly,Less than monthly,Daily,Daily
Never,Never,Daily,Daily,Never,Never,Weekly,Daily
Never,Less than monthly,Daily,Daily,Daily,Daily,Daily,Never
Never,Never,Daily,Daily,Never,Never,Daily,Daily
Less than monthly,Never,Daily,Weekly,Less than monthly,Never,Daily,Daily
Never,Never,Daily,Daily,Daily,Monthly,Daily,Daily
Never,Never,Weekly,Monthly,Weekly,Never,Monthly,Daily
Daily,Refused,Daily,Daily,Daily,Weekly,Daily,Daily
Never,Less than monthly,Weekly,Weekly,Daily,Weekly,Daily,Daily
Never,Never,Weekly,Daily,Daily,Daily,Daily,Daily
Weekly,Never,Daily,Daily,Daily,Weekly,Never,Daily
Weekly,Never,Daily,Daily,Daily,Weekly,Weekly,Daily
Never,Never,Daily,Daily,Never,Never,Daily,Daily
Never,Never,Weekly,Less than monthly,Never,Never,Never,Never
Less than monthly,Never,Daily,Daily,Weekly,Daily,Less than monthly,Daily
Never,Never,Daily,Daily,Never,Never,Weekly,Daily
Less than monthly,Never,Weekly,Monthly,Daily,Daily,Weekly,Daily
Less than monthly,Never,Daily,Daily,Weekly,Monthly,Weekly,Daily
Never,Never,Weekly,Less than monthly,Never,Never,Weekly,Daily
Never,Never,Daily,Weekly,Daily,Weekly,Weekly,Daily
Less than monthly,Less than monthly,Daily,Daily,Never,Never,Weekly,Daily
Never,Never,Daily,Daily,Daily,Weekly,Daily,Daily
Never,Never,Daily,Daily,Weekly,Weekly,Daily,Daily
Never,Never,Daily,Daily,Never,Never,Weekly,Weekly
Less than monthly,Monthly,Daily,Daily,Never,Never,Daily,Daily
Never,Never,Daily,Daily,Daily,Less than monthly,Weekly,Weekly
Never,Monthly,Never,Less than monthly,Daily,Weekly,Weekly,Daily
Daily,Never,Daily,Daily,Daily,Weekly,Daily,Daily
Less than monthly,Less than monthly,Daily,Never,Daily,Less than monthly,Weekly,Daily
Never,Never,Weekly,Weekly,Less than monthly,Never,Daily,Daily
Never,Never,Daily,Daily,Weekly,Weekly,Daily,Daily
Never,Never,Daily,Never,Daily,Never,Daily,Daily
Never,Never,Never,Never,Never,Never,Never,Daily
Never,Never,Less than monthly,Daily,Daily,Daily,Daily,Daily
Never,Never,Weekly,Weekly,Daily,Weekly,Weekly,Weekly
Never,Never,Daily,Never,Daily,Never,Daily,Daily
Daily,Weekly,Weekly,Daily,Daily,Daily,Monthly,Daily
Never,Never,Daily,Daily,Never,Never,Weekly,Less than monthly
Never,Daily,Daily,Daily,Daily,Never,Daily,Daily
Never,Never,Daily,Daily,Monthly,Never,Weekly,Daily
Never,Never,Daily,Daily,Daily,Weekly,Daily,Daily
Daily,Never,Daily,Weekly,Never,Less than monthly,Less than monthly,Daily
Never,Never,Daily,Never,Daily,Never,Daily,Daily
Daily,Never,Daily,Daily,Never,Never,Never,Daily
Never,Never,Daily,Less than monthly,Daily,Daily,Weekly,Daily
Never,Never,Weekly,Never,Weekly,Weekly,Weekly,Weekly
Never,Never,Daily,Weekly,Never,Never,Daily,Daily
Weekly,Never,Weekly,Weekly,Daily,Never,Weekly,Daily
Daily,Weekly,Daily,Weekly,Daily,Daily,Daily,Daily
Never,Never,Daily,Weekly,Weekly,Weekly,Less than monthly,Daily
Never,Never,Daily,Daily,Daily,Less than monthly,Weekly,Daily
Never,Never,Daily,Weekly,Never,Never,Daily,Daily
Never,Never,Weekly,Weekly,Less than monthly,Never,Weekly,Daily
Never,Never,Daily,Weekly,Daily,Less than monthly,Less than monthly,Daily
Never,Never,Never,Never,Never,Never,Never,Never
Weekly,Never,Daily,Never,Never,Never,Never,Daily
Daily,Never,Weekly,Daily,Daily,Less than monthly,Daily,Daily
Never,Never,Daily,Daily,Never,Never,Monthly,Weekly
Never,Never,Daily,Monthly,Less than monthly,Weekly,Daily,Daily
Daily,Never,Weekly,Monthly,Daily,Daily,Daily,Weekly
Never,Never,Daily,Daily,Weekly,Weekly,Weekly,Daily
Monthly,Monthly,Daily,Daily,Less than monthly,Never,Weekly,Daily
Never,Never,Daily,Never,Never,Never,Monthly,Daily
Daily,Weekly,Daily,Daily,Daily,Daily,Daily,Weekly
Never,Never,Daily,Less than monthly,Daily,Never,Daily,Daily
Never,Never,Weekly,Daily,Never,Weekly,Weekly,Daily
Never,Never,Daily,Daily,Daily,Weekly,Weekly,Daily
Never,Never,Daily,Daily,Never,Never,Weekly,Daily
Never,Never,Daily,Never,Daily,Never,Daily,Weekly
Daily,Never,Daily,Daily,Never,Never,Weekly,Daily
Less than monthly,Never,Weekly,Less than monthly,Daily,Weekly,Weekly,Daily
Never,Never,Weekly,Never,Daily,Less than monthly,Daily,Daily
Never,Never,Daily,Daily,Less than monthly,Less than monthly,Daily,Weekly
Weekly,Never,Daily,Daily,Weekly,Never,Weekly,Monthly
Weekly,Less than monthly,Weekly,Weekly,Daily,Monthly,Daily,Daily
Never,Never,Daily,Daily,Less than monthly,Never,Daily,Daily
Never,Never,Never,Never,Never,Never,Never,Never
Daily,Never,Daily,Daily,Daily,Weekly,Weekly,Daily
Never,Never,Daily,Weekly,Never,Never,Weekly,Daily
Never,Never,Daily,Daily,Daily,Daily,Daily,Daily
Never,Never,Daily,Daily,Never,Never,Weekly,Daily
Less than monthly,Never,Daily,Daily,Weekly,Never,Daily,Daily
Never,Never,Daily,Never,Weekly,Never,Never,Daily
Never,Never,Daily,Never,Daily,Monthly,Daily,Daily
Never,Never,Weekly,Less than monthly,Never,Never,Weekly,Daily
Less than monthly,Never,Daily,Daily,Daily,Weekly,Weekly,Weekly
Never,Never,Less than monthly,Less than monthly,Daily,Less than monthly,Weekly,Daily
Daily,Never,Weekly,Monthly,Daily,Daily,Never,Daily
Never,Never,Weekly,Weekly,Daily,Monthly,Less than monthly,Daily
Never,Never,Daily,Weekly,Never,Never,Daily,Never
Never,Never,Daily,Never,Never,Never,Daily,Daily
Daily,Never,Daily,Weekly,Daily,Daily,Daily,Daily
Never,Never,Daily,Daily,Daily,Never,Daily,Daily
Never,Never,Weekly,Less than monthly,Weekly,Weekly,Daily,Daily
Weekly,Weekly,Weekly,Daily,Never,Never,Weekly,Daily
Less than monthly,Never,Daily,Daily,Daily,Daily,Weekly,Weekly
Less than monthly,Never,Daily,Daily,Daily,Weekly,Daily,Daily
Daily,Never,Weekly,Never,Less than monthly,Never,Never,Daily
Never,Never,Daily,Daily,Never,Never,Never,Weekly
Daily,Never,Weekly,Never,Daily,Weekly,Daily,Daily
Never,Never,Daily,Weekly,Never,Never,Weekly,Daily
Weekly,Never,Daily,Daily,Daily,Less than monthly,Daily,Daily
Never,Never,Daily,Weekly,Daily,Daily,Daily,Daily
Never,Never,Monthly,Weekly,Never,Never,Never,Daily
Monthly,Never,Never,Never,Daily,Daily,Daily,Daily
Weekly,Never,Daily,Weekly,Weekly,Weekly,Daily,Daily
Never,Never,Weekly,Never,Never,Never,Never,Daily
Refused,Refused,Weekly,Weekly,Daily,Daily,Refused,Less than monthly
Never,Weekly,Daily,Daily,Daily,Less than monthly,Daily,Daily
Never,Never,Daily,Never,Never,Never,Less than monthly,Daily
Never,Never,Daily,Daily,Daily,Monthly,Weekly,Daily
Less than monthly,Never,Weekly,Less than monthly,Never,Never,Weekly,Daily
Never,Never,Daily,Weekly,Daily,Monthly,Weekly,Weekly
Never,Never,Daily,Weekly,Daily,Weekly,Daily,Daily
Never,Never,Daily,Daily,Daily,Less than monthly,Daily,Daily
Never,Never,Weekly,Weekly,Never,Never,Daily,Daily
Never,Monthly,Daily,Weekly,Weekly,Less than monthly,Weekly,Weekly
Daily,Less than monthly,Daily,Weekly,Daily,Never,Weekly,Daily
Never,Less than monthly,Weekly,Less than monthly,Weekly,Weekly,Daily,Daily
Never,Never,Less than monthly,Never,Never,Never,Less than monthly,Daily
Weekly,Refused,Daily,Daily,Daily,Daily,Weekly,Weekly
Never,Never,Weekly,Never,Daily,Never,Daily,Daily
Monthly,Never,Weekly,Monthly,Daily,Weekly,Weekly,Daily
Never,Never,Weekly,Weekly,Never,Never,Weekly,Daily
Never,Never,Daily,Weekly,Never,Never,Weekly,Daily
Weekly,Less than monthly,Daily,Daily,Never,Never,Weekly,Weekly
Never,Never,Weekly,Never,Daily,Less than monthly,Daily,Daily
Daily,Never,Weekly,Weekly,Daily,Daily,Daily,Daily
Never,Less than monthly,Daily,Monthly,Monthly,Never,Weekly,Daily
Never,Never,Daily,Daily,Daily,Daily,Daily,Daily
Never,Never,Daily,Daily,Daily,Monthly,Daily,Daily
Never,Never,Weekly,Weekly,Never,Never,Weekly,Daily
Less than monthly,Never,Weekly,Daily,Weekly,Weekly,Weekly,Daily
Monthly,Monthly,Daily,Weekly,Never,Never,Weekly,Daily
Never,Never,Daily,Less than monthly,Daily,Never,Daily,Daily
Never,Never,Daily,Daily,Daily,Daily,Monthly,Never
Never,Never,Less than monthly,Less than monthly,Daily,Never,Daily,Daily
Never,Never,Weekly,Less than monthly,Never,Never,Weekly,Daily
Weekly,Never,Daily,Daily,Never,Never,Never,Weekly
Never,Never,Daily,Weekly,Less than monthly,Less than monthly,Weekly,Weekly
